A_train.txt-->(1199, 0.5821517931609674, 0.5821517931609674)
B_train.txt-->(5018, 0.4721004384216819, 0.4721004384216819)
C_train.txt-->(3209, 0.5210345902150203, 0.5210345902150203)
D_train.txt-->(6736, 0.4403206650831354, 0.4403206650831354)
E_train.txt-->(2016, 0.45287698412698413, 0.45287698412698413)
F_train.txt-->(10237, 0.4457360554850054, 0.4457360554850054)
G_train.txt-->(11501, 0.5599513085818625, 0.5599513085818625)
H_train.txt-->(3409, 0.4397183924904664, 0.4397183924904664)
I_train.txt-->(2196, 0.372040072859745, 0.372040072859745)
J_train.txt-->(2660, 0.5093984962406015, 0.5093984962406015)
K_train.txt-->(4003, 0.5156132900324757, 0.5156132900324757)
level_1_train.txt-->(206795, 0.7426146666989047, 0.7426146666989047)
N_train.txt-->(1143, 0.6762904636920385, 0.6762904636920385)
O_train.txt-->(12057, 0.5313925520444555, 0.5313925520444555)
P_train.txt-->(12016, 0.542193741677763, 0.542193741677763)
Q_train.txt-->(18949, 0.3721568420497124, 0.3721568420497124)
R_train.txt-->(34189, 0.5537161075199626, 0.5537161075199626)
S_train.txt-->(13742, 0.5625090962014263, 0.5625090962014263)
T_train.txt-->(44452, 0.45815711329074055, 0.45815711329074055)
U_train.txt-->(4874, 0.6495691423881822, 0.6495691423881822)
V_train.txt-->(4251, 0.5777464126087979, 0.5777464126087979)
X_train.txt-->(8928, 0.5023521505376344, 0.5023521505376344)
Z_train.txt-->(10, 0.4, 0.4)
