A-->(3671, 0.69109234540997, 0.69109234540997)
B-->(8738, 0.9531929503318838, 0.9531929503318838)
C-->(5748, 0.982080723729993, 0.982080723729993)
D-->(11327, 0.9029751920190695, 0.9029751920190695)
E-->(2722, 0.9808963997060984, 0.9808963997060984)
F-->(12668, 0.9404799494790023, 0.9404799494790023)
G-->(15470, 0.9860374919198449, 0.9860374919198449)
H-->(6779, 0.9142941436790087, 0.9142941436790087)
I-->(5843, 0.9940099264076673, 0.9940099264076673)
J-->(5634, 0.9955626553070642, 0.9955626553070642)
K-->(6635, 0.9932177844762623, 0.9932177844762623)
level_1_train.txt-->(245646, 0.9928230054631462, 0.9928230054631462)
O-->(14486, 0.9254452574899903, 0.9254452574899903)
P-->(8026, 0.9085472215300274, 0.9085472215300274)
Q-->(24052, 0.8800515549642441, 0.8800515549642441)
R-->(22565, 0.8363394637713273, 0.8363394637713273)
S-->(15695, 0.9895508123606244, 0.9895508123606244)
T-->(51077, 0.9034399044579752, 0.9034399044579752)
U-->(8800, 0.9502272727272727, 0.9502272727272727)
V-->(4799, 0.9964575953323609, 0.9964575953323609)
X-->(10911, 0.8954266336724407, 0.8954266336724407)
